firm,market_id,firm_id,city_id,quarter_id,market_size,cost_shifter,price,share,advertising
"McDonalds",38,1,2,18,8281,1.268919,2.8506823,.0381399,1
"TacoBell",38,2,2,18,8281,.111282,2.5864639,.0317541,0
"SushiHut",38,3,2,18,8281,.570506,2.8034589,.0410573,1
"McDonalds",39,1,2,19,7589,-.6066511,2.2430856,.0087182,0
"TacoBell",39,2,2,19,7589,.6424553,2.4636235,.0349405,1
"SushiHut",39,3,2,19,7589,-1.640588,2.402897,.0594409,1
"McDonalds",40,1,2,20,2511,.3167616,2.2690606,.0063086,0
"TacoBell",40,2,2,20,2511,-1.238117,2.1873157,.0700342,1
"SushiHut",40,3,2,20,2511,.5830995,2.4416375,.0657309,1
"McDonalds",41,1,3,1,3475,.6382771,2.4469645,.0004529,0
"TacoBell",41,2,3,1,3475,-.466893,2.6792254,.103199,1
"SushiHut",41,3,3,1,3475,-.5746241,2.2178305,.0411854,1
"McDonalds",42,1,3,2,1197,1.191405,2.5527327,.002079,1
"TacoBell",42,2,3,2,1197,.4680086,2.4735794,.0480457,0
"SushiHut",42,3,3,2,1197,.8588305,2.6092203,.0759482,1
"McDonalds",43,1,3,3,1596,.4663828,2.2465534,.0140863,1
"TacoBell",43,2,3,3,1596,-.5011493,2.6412084,.0821447,1
"McDonalds",44,1,3,4,1935,-.3113383,2.3206475,.0388785,1
"TacoBell",44,2,3,4,1935,1.543983,2.8067923,.0602171,1
"McDonalds",45,1,3,5,11405,-.1602173,2.3089921,.0082879,1
"TacoBell",45,2,3,5,11405,1.436241,2.6742365,.0116602,1
"SushiHut",45,3,3,5,11405,-1.986036,2.3530118,.0410395,1
"McDonalds",46,1,3,6,1829,1.343331,2.647876,.0026094,1
"TacoBell",46,2,3,6,1829,-1.310917,2.273572,.1106959,1
"SushiHut",46,3,3,6,1829,-1.193296,2.1649282,.0224839,1
"McDonalds",47,1,3,7,2398,-.6408931,2.1593542,.0225204,1
"TacoBell",47,2,3,7,2398,-1.131058,2.3743021,.1143937,0
"SushiHut",47,3,3,7,2398,-1.448974,2.1294992,.0639963,1
"McDonalds",48,1,3,8,5723,-2.009744,2.4682529,.0876806,1
"TacoBell",48,2,3,8,5723,.9373076,2.3753896,.0012733,1
"SushiHut",48,3,3,8,5723,-1.153741,2.4531587,.0631296,1
"McDonalds",49,1,3,9,2614,-.2576725,2.3777475,.0391762,0
"TacoBell",49,2,3,9,2614,-.3172907,2.2196653,.0200132,0
"SushiHut",49,3,3,9,2614,1.205027,2.5695011,.0091799,1
"McDonalds",50,1,3,10,3611,1.350072,2.6850517,.0058096,0
"TacoBell",50,2,3,10,3611,.7511507,2.2238624,.0019317,0
"SushiHut",50,3,3,10,3611,-1.138643,2.5518705,.063419,1
"McDonalds",51,1,3,11,1001,-.8970649,2.1913624,.0459437,1
"TacoBell",51,2,3,11,1001,-1.24054,1.9271671,.0472014,1
"McDonalds",52,1,3,12,7706,-1.244204,2.2395518,.0321893,0
"TacoBell",52,2,3,12,7706,-.6545158,2.3636487,.032268,0
"McDonalds",53,1,3,13,3028,-2.121971,1.8334763,.0536167,0
"TacoBell",53,2,3,13,3028,-1.075271,2.0419509,.027047,1
"SushiHut",53,3,3,13,3028,-1.17311,2.225486,.0520732,1
"McDonalds",54,1,3,14,2770,-.2465427,2.3819804,.019852,0
"TacoBell",54,2,3,14,2770,-.6677878,2.327343,.0382005,1
"McDonalds",55,1,3,15,2298,.2091349,2.5885522,.0762849,0
"TacoBell",55,2,3,15,2298,-.313044,2.1828871,.0480765,0
"SushiHut",55,3,3,15,2298,.4309022,2.3388198,.0191193,1
"McDonalds",56,1,3,16,1681,.9242885,2.4483106,.007331,0
"TacoBell",56,2,3,16,1681,-.0191421,2.4080203,.0478105,0
"SushiHut",56,3,3,16,1681,-.9297805,2.1264856,.0271088,1
"McDonalds",57,1,3,17,1944,-1.794429,1.9649535,.0369769,0
"TacoBell",57,2,3,17,1944,3.254465,2.9331732,.0063828,1
"SushiHut",57,3,3,17,1944,-1.517389,1.9414265,.0379592,1
"McDonalds",58,1,3,18,4987,1.268919,2.6449335,.024993,0
"TacoBell",58,2,3,18,4987,.111282,2.5416088,.0479107,1
"SushiHut",58,3,3,18,4987,.570506,2.229904,.0130274,1
"McDonalds",59,1,3,19,4938,-.6066511,2.589694,.0749666,1
"TacoBell",59,2,3,19,4938,.6424553,2.3792632,.0065262,0
"SushiHut",59,3,3,19,4938,-1.640588,2.2783661,.0515849,1
"McDonalds",60,1,3,20,2562,.3167616,2.4286454,.0084856,0
"TacoBell",60,2,3,20,2562,-1.238117,2.1057856,.043601,0
"SushiHut",60,3,3,20,2562,.5830995,2.4772861,.0218071,1
"McDonalds",61,1,4,1,3398,.6382771,2.4005115,.0210916,0
"TacoBell",61,2,4,1,3398,-.466893,2.5196054,.0782873,0
"SushiHut",61,3,4,1,3398,-.5746241,2.1176173,.0087711,1
"McDonalds",62,1,4,2,3417,1.191405,2.6666615,.0530715,1
"TacoBell",62,2,4,2,3417,.4680086,2.6845338,.055219,1
"SushiHut",62,3,4,2,3417,.8588305,2.4728217,.0024831,1
"McDonalds",63,1,4,3,3140,.4663828,2.0697629,.004859,0
"TacoBell",63,2,4,3,3140,-.5011493,2.5209205,.0878306,1
"SushiHut",63,3,4,3,3140,.0706478,2.1674091,.0245622,1
"McDonalds",64,1,4,4,3899,-.3113383,2.4764907,.0226649,1
"TacoBell",64,2,4,4,3899,1.543983,2.7703953,.0367846,0
"McDonalds",65,1,4,5,4195,-.1602173,2.4746971,.0090194,0
"TacoBell",65,2,4,5,4195,1.436241,2.6847839,.0433397,1
"SushiHut",65,3,4,5,4195,-1.986036,2.5056561,.0974027,1
"McDonalds",66,1,4,6,1110,1.343331,2.5784259,.0016003,0
"TacoBell",66,2,4,6,1110,-1.310917,2.4226458,.0942538,1
"McDonalds",67,1,4,7,7106,-.6408931,2.4031389,.0451221,1
"TacoBell",67,2,4,7,7106,-1.131058,1.9994984,.0089856,1
"SushiHut",67,3,4,7,7106,-1.448974,2.4255768,.0743151,1
"McDonalds",68,1,4,8,1685,-2.009744,1.9232291,.0620079,1
"TacoBell",68,2,4,8,1685,.9373076,2.4965968,.0108429,1
"SushiHut",68,3,4,8,1685,-1.153741,2.1577332,.1178403,1
"McDonalds",69,1,4,9,1183,-.2576725,2.3316729,.0225477,0
"TacoBell",69,2,4,9,1183,-.3172907,2.3210907,.0852275,1
"McDonalds",70,1,4,10,2816,1.350072,2.4822462,.0267316,1
"TacoBell",70,2,4,10,2816,.7511507,2.379128,.0041475,0
"SushiHut",70,3,4,10,2816,-1.138643,2.2103055,.046343,1
"McDonalds",71,1,4,11,902,-.8970649,2.010129,.062438,0
"TacoBell",71,2,4,11,902,-1.24054,2.0322266,.0753986,0
"McDonalds",72,1,4,12,4381,-1.244204,2.3971326,.0620752,1
"TacoBell",72,2,4,12,4381,-.6545158,2.0921428,.021814,0
"McDonalds",73,1,4,13,4254,-2.121971,2.2045465,.0781552,0
"TacoBell",73,2,4,13,4254,-1.075271,2.1050086,.0161181,0
"SushiHut",73,3,4,13,4254,-1.17311,2.4376272,.0736436,1
"McDonalds",74,1,4,14,9231,-.2465427,2.8562067,.0548697,1
"TacoBell",74,2,4,14,9231,-.6677878,2.4396479,.0179209,1
"McDonalds",75,1,4,15,782,.2091349,2.1926208,.0217787,0
"TacoBell",75,2,4,15,782,-.313044,2.3179488,.0743954,1
"McDonalds",76,1,4,16,3002,.9242885,2.3876455,.0039372,0
"TacoBell",76,2,4,16,3002,-.0191421,2.5963345,.0784522,1
"SushiHut",76,3,4,16,3002,-.9297805,2.1593282,.0130355,1
"McDonalds",77,1,4,17,2878,-1.794429,1.9749033,.0376667,0
"TacoBell",77,2,4,17,2878,3.254465,2.8081722,.000092,0
"SushiHut",77,3,4,17,2878,-1.517389,2.1118594,.0656544,1
"McDonalds",78,1,4,18,1331,1.268919,2.5428352,.053837,1
"TacoBell",78,2,4,18,1331,.111282,1.9433677,.0103766,1
"SushiHut",78,3,4,18,1331,.570506,2.5025442,.023561,1
"McDonalds",79,1,4,19,795,-.6066511,2.298903,.0105458,0
"TacoBell",79,2,4,19,795,.6424553,2.6897819,.0602849,0
"McDonalds",80,1,4,20,3194,.3167616,2.4141095,.0091964,1
"TacoBell",80,2,4,20,3194,-1.238117,2.226366,.0410409,1
"SushiHut",80,3,4,20,3194,.5830995,2.6781556,.0302813,1
"McDonalds",81,1,5,1,1592,.6382771,2.4848244,.039169,1
"TacoBell",81,2,5,1,1592,-.466893,2.0382013,.0266783,1
"SushiHut",81,3,5,1,1592,-.5746241,2.1114101,.058693,1
"McDonalds",82,1,5,2,5470,1.191405,2.6918247,.035739,1
"TacoBell",82,2,5,2,5470,.4680086,2.4963479,.023298,1
"SushiHut",82,3,5,2,5470,.8588305,2.3502552,.0222279,1
"McDonalds",83,1,5,3,2736,.4663828,2.5031178,.042743,1
"TacoBell",83,2,5,3,2736,-.5011493,2.5370107,.1351245,1
"SushiHut",83,3,5,3,2736,.0706478,2.3636548,.0373555,1
"McDonalds",84,1,5,4,1984,-.3113383,2.1988394,.011171,1
"TacoBell",84,2,5,4,1984,1.543983,2.8261955,.0451661,1
"McDonalds",85,1,5,5,12150,-.1602173,2.4563398,.0239318,1
"TacoBell",85,2,5,5,12150,1.436241,2.8079937,.028846,1
"SushiHut",85,3,5,5,12150,-1.986036,2.473483,.047012,1
"McDonalds",86,1,5,6,7240,1.343331,2.8016229,.0309507,1
"TacoBell",86,2,5,6,7240,-1.310917,2.2187769,.0413116,0
"SushiHut",86,3,5,6,7240,-1.193296,2.3683817,.0329932,1
"McDonalds",87,1,5,7,1835,-.6408931,2.1604831,.0343802,1
"TacoBell",87,2,5,7,1835,-1.131058,2.0442178,.0531688,1
"SushiHut",87,3,5,7,1835,-1.448974,2.0407464,.0619571,1
"McDonalds",88,1,5,8,1148,-2.009744,1.9678124,.1186001,0
"TacoBell",88,2,5,8,1148,.9373076,2.4473021,.0004023,0
"SushiHut",88,3,5,8,1148,-1.153741,1.8746842,.0189934,1
"McDonalds",89,1,5,9,1648,-.2576725,2.1558285,.0149971,1
"TacoBell",89,2,5,9,1648,-.3172907,2.3608959,.0506666,0
"McDonalds",90,1,5,10,1919,1.350072,2.5552304,.0041268,1
"TacoBell",90,2,5,10,1919,.7511507,2.3804307,.0184126,0
"SushiHut",90,3,5,10,1919,-1.138643,2.2074781,.0885799,1
"McDonalds",91,1,5,11,4279,-.8970649,2.4268725,.031037,1
"TacoBell",91,2,5,11,4279,-1.24054,2.2664049,.0463724,0
"McDonalds",92,1,5,12,3240,-1.244204,2.1146755,.0295426,0
"TacoBell",92,2,5,12,3240,-.6545158,2.2501574,.0034635,0
"SushiHut",92,3,5,12,3240,.7409334,2.6469528,.0377156,1
"McDonalds",93,1,5,13,2721,-2.121971,1.9752671,.0578618,0
"TacoBell",93,2,5,13,2721,-1.075271,1.8514162,.0120109,1
"SushiHut",93,3,5,13,2721,-1.17311,2.2733859,.1146135,1
"McDonalds",94,1,5,14,5237,-.2465427,2.6171417,.0516857,1
"TacoBell",94,2,5,14,5237,-.6677878,2.445204,.0539987,1
"SushiHut",94,3,5,14,5237,2.187,2.7776509,.0005439,1
"McDonalds",95,1,5,15,1297,.2091349,2.4318786,.0486966,1
"TacoBell",95,2,5,15,1297,-.313044,2.1056302,.0249168,0
"McDonalds",96,1,5,16,1790,.9242885,2.46421,.0396105,1
"TacoBell",96,2,5,16,1790,-.0191421,2.1390045,.0032604,0
"SushiHut",96,3,5,16,1790,-.9297805,2.4174224,.0571582,1
"McDonalds",97,1,5,17,1450,-1.794429,1.9149199,.0715555,1
"TacoBell",97,2,5,17,1450,3.254465,2.9040372,.000132,1
"SushiHut",97,3,5,17,1450,-1.517389,2.097757,.0692502,1
"McDonalds",98,1,5,18,1372,1.268919,2.4835186,.0101271,1
"TacoBell",98,2,5,18,1372,.111282,2.7517204,.1166692,1
"McDonalds",99,1,5,19,2526,-.6066511,2.1553903,.0076524,1
"TacoBell",99,2,5,19,2526,.6424553,2.6811996,.0223882,1
"SushiHut",99,3,5,19,2526,-1.640588,2.1615836,.0626447,1
"McDonalds",100,1,5,20,3862,.3167616,2.3452473,.0220348,1
"TacoBell",100,2,5,20,3862,-1.238117,2.2736034,.0528974,0
"SushiHut",100,3,5,20,3862,.5830995,2.4968345,.0199347,1
"McDonalds",101,1,6,1,1264,.6382771,2.3053186,.0127671,1
"TacoBell",101,2,6,1,1264,-.466893,2.109663,.0349995,0
"McDonalds",102,1,6,2,591,1.191405,2.5947151,.0520213,1
"TacoBell",102,2,6,2,591,.4680086,2.4768853,.0276148,0
"McDonalds",103,1,6,3,1646,.4663828,2.6970294,.0501254,1
"TacoBell",103,2,6,3,1646,-.5011493,2.08424,.0257898,1
"McDonalds",104,1,6,4,3227,-.3113383,2.2152991,.0103586,0
"TacoBell",104,2,6,4,3227,1.543983,2.8351257,.0329842,1
"McDonalds",105,1,6,5,4817,-.1602173,2.5363932,.0487252,1
"TacoBell",105,2,6,5,4817,1.436241,2.5682082,.0001612,0
"SushiHut",105,3,6,5,4817,-1.986036,1.9838378,.0253264,1
"McDonalds",106,1,6,6,3018,1.343331,2.4383717,.0086787,0
"TacoBell",106,2,6,6,3018,-1.310917,2.147645,.0569735,1
"SushiHut",106,3,6,6,3018,-1.193296,2.1865157,.0815808,1
"McDonalds",107,1,6,7,6357,-.6408931,2.1565149,.0289605,0
"TacoBell",107,2,6,7,6357,-1.131058,2.0320389,.0224259,1
"SushiHut",107,3,6,7,6357,-1.448974,2.146301,.0632856,1
"McDonalds",108,1,6,8,1771,-2.009744,2.2322531,.0878685,1
"TacoBell",108,2,6,8,1771,.9373076,2.5291624,.0009701,0
"McDonalds",109,1,6,9,1316,-.2576725,2.3991168,.0578466,0
"TacoBell",109,2,6,9,1316,-.3172907,2.272898,.0303272,0
"McDonalds",110,1,6,10,1435,1.350072,2.4301741,.0230662,1
"TacoBell",110,2,6,10,1435,.7511507,2.6534531,.0354488,1
"SushiHut",110,3,6,10,1435,-1.138643,2.0506498,.0249769,1
"McDonalds",111,1,6,11,1196,-.8970649,2.1366861,.0280381,0
"TacoBell",111,2,6,11,1196,-1.24054,2.3049679,.0973569,1
"McDonalds",112,1,6,12,3487,-1.244204,2.7582927,.126423,1
"TacoBell",112,2,6,12,3487,-.6545158,2.0619402,.0078508,0
"McDonalds",113,1,6,13,1697,-2.121971,2.39905,.1400553,0
"TacoBell",113,2,6,13,1697,-1.075271,2.0373185,.008734,1
"SushiHut",113,3,6,13,1697,-1.17311,2.028653,.0296501,1
"McDonalds",114,1,6,14,2853,-.2465427,2.462986,.0567577,0
"TacoBell",114,2,6,14,2853,-.6677878,2.2092407,.0147783,0
"McDonalds",115,1,6,15,3088,.2091349,2.6418705,.0760672,1
"TacoBell",115,2,6,15,3088,-.313044,2.1145103,.0231242,1
"SushiHut",115,3,6,15,3088,.4309022,2.5693374,.0315221,1
"McDonalds",116,1,6,16,2607,.9242885,2.3809245,.0079237,0
"TacoBell",116,2,6,16,2607,-.0191421,2.2568278,.0333799,1
"SushiHut",116,3,6,16,2607,-.9297805,2.2098991,.0570851,1
"McDonalds",117,1,6,17,5734,-1.794429,2.5436459,.0718563,1
"TacoBell",117,2,6,17,5734,3.254465,2.9237356,.0003941,0
"SushiHut",117,3,6,17,5734,-1.517389,2.1889082,.0432062,1
"McDonalds",118,1,6,18,1177,1.268919,2.5113447,.0044965,0
"TacoBell",118,2,6,18,1177,.111282,2.5325236,.0506503,1
"McDonalds",119,1,6,19,1546,-.6066511,2.1260214,.0063245,0
"TacoBell",119,2,6,19,1546,.6424553,2.2756586,.0397274,1
"SushiHut",119,3,6,19,1546,-1.640588,2.1646838,.1614977,1
"McDonalds",120,1,6,20,2595,.3167616,2.2032952,.0311578,0
"TacoBell",120,2,6,20,2595,-1.238117,2.2484655,.0685478,1
"McDonalds",121,1,7,1,5350,.6382771,2.3204999,.0029043,1
"TacoBell",121,2,7,1,5350,-.466893,2.4469759,.0666246,1
"SushiHut",121,3,7,1,5350,-.5746241,2.5211626,.06654,1
"McDonalds",122,1,7,2,8981,1.191405,2.6502876,.0113517,0
"TacoBell",122,2,7,2,8981,.4680086,2.6402519,.0275524,1
"SushiHut",122,3,7,2,8981,.8588305,2.8975151,.0299183,1
"McDonalds",123,1,7,3,1172,.4663828,2.3998449,.0444366,1
"TacoBell",123,2,7,3,1172,-.5011493,2.2313933,.048127,0
"McDonalds",124,1,7,4,2938,-.3113383,2.4319263,.0349855,0
"TacoBell",124,2,7,4,2938,1.543983,2.7846148,.0275575,1
"McDonalds",125,1,7,5,4703,-.1602173,2.2449827,.0018299,0
"TacoBell",125,2,7,5,4703,1.436241,2.6098387,.0236937,0
"SushiHut",125,3,7,5,4703,-1.986036,2.2944299,.0566151,1
"McDonalds",126,1,7,6,1852,1.343331,2.3398302,.0015653,1
"TacoBell",126,2,7,6,1852,-1.310917,2.0975981,.1255261,1
"SushiHut",126,3,7,6,1852,-1.193296,2.3735998,.1385229,1
"McDonalds",127,1,7,7,6062,-.6408931,2.0955992,.0188103,0
"TacoBell",127,2,7,7,6062,-1.131058,2.545258,.0514405,1
"SushiHut",127,3,7,7,6062,-1.448974,2.1960683,.0534541,1
"McDonalds",128,1,7,8,1512,-2.009744,2.1835172,.1513386,1
"TacoBell",128,2,7,8,1512,.9373076,2.4325647,.0374823,0
"SushiHut",128,3,7,8,1512,-1.153741,2.1040474,.0080351,1
"McDonalds",129,1,7,9,4268,-.2576725,2.5119886,.0804176,1
"TacoBell",129,2,7,9,4268,-.3172907,2.2274172,.0139316,0
"SushiHut",129,3,7,9,4268,1.205027,2.5276102,.0072155,1
"McDonalds",130,1,7,10,5289,1.350072,2.4208996,.00387,0
"TacoBell",130,2,7,10,5289,.7511507,2.6524308,.0448438,0
"SushiHut",130,3,7,10,5289,-1.138643,2.6033252,.0592128,1
"McDonalds",131,1,7,11,14092,-.8970649,2.3900371,.022586,0
"TacoBell",131,2,7,11,14092,-1.24054,2.6536171,.0379767,1
"SushiHut",131,3,7,11,14092,1.662457,2.5519989,.0114824,1
"McDonalds",132,1,7,12,1618,-1.244204,2.3290107,.0970123,1
"TacoBell",132,2,7,12,1618,-.6545158,2.187463,.0235246,1
"McDonalds",133,1,7,13,2419,-2.121971,1.8074747,.0805241,1
"TacoBell",133,2,7,13,2419,-1.075271,2.0387444,.0203964,1
"SushiHut",133,3,7,13,2419,-1.17311,2.2785138,.0776053,1
"McDonalds",134,1,7,14,782,-.2465427,2.2619495,.0413809,0
"TacoBell",134,2,7,14,782,-.6677878,2.1660898,.0519686,0
"McDonalds",135,1,7,15,2041,.2091349,2.4615953,.0001429,0
"TacoBell",135,2,7,15,2041,-.313044,2.5561903,.1090074,1
"SushiHut",135,3,7,15,2041,.4309022,2.387585,.0426105,1
"McDonalds",136,1,7,16,2699,.9242885,2.264637,.0001285,0
"TacoBell",136,2,7,16,2699,-.0191421,2.3910279,.0464882,1
"SushiHut",136,3,7,16,2699,-.9297805,2.2801568,.0943372,1
"McDonalds",137,1,7,17,1821,-1.794429,2.3672469,.1245522,1
"TacoBell",137,2,7,17,1821,3.254465,2.8717937,.0019815,1
"SushiHut",137,3,7,17,1821,-1.517389,1.8706004,.0082339,1
"McDonalds",138,1,7,18,1218,1.268919,2.5645459,.0524095,1
"TacoBell",138,2,7,18,1218,.111282,2.1960292,.0246911,1
"McDonalds",139,1,7,19,5238,-.6066511,2.0576568,.0069388,1
"TacoBell",139,2,7,19,5238,.6424553,2.6068017,.0304518,1
"SushiHut",139,3,7,19,5238,-1.640588,2.2769588,.0519919,1
"McDonalds",140,1,7,20,2676,.3167616,2.2692981,.0028528,1
"TacoBell",140,2,7,20,2676,-1.238117,2.5126083,.0919509,1
"McDonalds",141,1,8,1,2390,.6382771,2.3396726,.0021065,1
"TacoBell",141,2,8,1,2390,-.466893,2.7776287,.0900854,1
"McDonalds",142,1,8,2,4584,1.191405,2.4349716,.0070202,0
"TacoBell",142,2,8,2,4584,.4680086,2.3420596,.0159875,1
"SushiHut",142,3,8,2,4584,.8588305,2.5733171,.0280208,1
"McDonalds",143,1,8,3,4565,.4663828,2.4187191,.0109801,0
"TacoBell",143,2,8,3,4565,-.5011493,2.4042115,.049573,1
"SushiHut",143,3,8,3,4565,.0706478,2.4356022,.0121573,1
"McDonalds",144,1,8,4,913,-.3113383,2.4844766,.0726671,0
"TacoBell",144,2,8,4,913,1.543983,2.5222261,.0077036,1
"McDonalds",145,1,8,5,3623,-.1602173,2.1424932,.017656,0
"TacoBell",145,2,8,5,3623,1.436241,2.7028062,.0054522,1
